Station,Dates,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_12,Data_13,Data_14,Data_15,Data_16,Data_18,Data_19,Data_20,Data_21,Data_22,Data_23,Data_24,Data_25,Date_Time,Result
CT,2021-02-13,1.032,,,,,1.064,,,,,,,,,,,,,,,,,,2021-02-13,Unknown
CT,2021-02-14,1.083,,,,,1.113,,,,,,,,,,,,,,,,,,2021-02-14,Unknown
CT,2021-02-15,1.048,,,,,1.172,,,,,,,,,,,,,,,,,,2021-02-15,Unknown
CT,2021-02-16,1.114,142.0,121.0,11.2,8.02,1.265,13.9,8.0,12.0,8.29,8.0,31.0,0.44,4.5,0.5,128.100006,0.902113,0.933884,146.646393,84.400803,4.642044,47.475449,5.27505,2021-02-16,Unknown
CT,2021-02-17,1.018,,,,,1.088,,,,,,,,,,,,,,,,,,2021-02-17,Unknown
CT,2021-02-18,1.013,,,,,1.173,,,,,,,,,,,,,,,,,,2021-02-18,Unknown
CT,2021-02-19,1.022,,,,,1.129,,,,,,,,,,,,,,,,,,2021-02-19,Unknown
CT,2021-02-20,1.0188,,,,,1.08,,,,,,,,,,,,,,,,,,2021-02-20,Unknown
CT,2021-02-21,1.11,,,,,1.129,,,,,,,,,,,,,,,,,,2021-02-21,Unknown
CT,2021-02-22,1.004,,,,,1.172,,,,,,,,,,,,,,,,,,2021-02-22,Unknown
CT,2021-02-23,1.25,200.0,180.0,10.3,7.56,1.373,8.1,,11.5,7.39,9.42,10.0,0.73,2.2,0.49,191.899994,0.9595,1.0,92.75164,0.0,8.359098,25.191805,5.610902,2021-02-23,Unknown
CT,2021-02-24,1.231,,,,,1.239,,,,,,,,,,,,,,,,,,2021-02-24,Unknown
CT,2021-02-25,1.122,,,,,1.231,,,,,,,,,,,,,,,,,,2021-02-25,Unknown
CT,2021-02-26,1.037,,,,,1.161,,,,,,,,,,,,,,,,,,2021-02-26,Unknown
CT,2021-02-27,1.183,,,,,1.155,,,,,,,,,,,,,,,,,,2021-02-27,Unknown
CT,2021-02-28,1.392,,,,,1.443,,,,,,,,,,,,,,,,,,2021-02-28,Unknown
CT,2021-03-01,1.123,,,,,1.03,,,,,,,,,,,,,,,,,,2021-03-01,Unknown
CT,2021-03-02,1.21,315.0,700.0,10.9,7.32,1.01,11.9,4.0,11.4,7.45,8.7,10.0,0.63,2.4,0.49,303.100006,0.962222,0.994286,100.238457,33.6936,5.306742,20.21616,4.127466,2021-03-02,Unknown
CT,2021-03-03,1.3,,,,,1.39,,,,,,,,,,,,,,,,,,2021-03-03,Unknown
CT,2021-03-04,1.18,,,,,1.28,,,,,,,,,,,,,,,,,,2021-03-04,Unknown
CT,2021-03-05,1.28,,,,,1.36,,,,,,,,,,,,,,,,,,2021-03-05,Unknown
CT,2021-03-06,1.02,,,,,1.21,,,,,,,,,,,,,,,,,,2021-03-06,Unknown
CT,2021-03-07,1.01,,,,,1.17,,,,,,,,,,,,,,,,,,2021-03-07,Unknown
CT,2021-03-08,1.48,,,,,1.35,,,,,,,,,,,,,,,,,,2021-03-08,Unknown
CT,2021-03-09,0.9,238.0,163.0,11.3,7.56,1.05,7.1,4.0,12.3,7.29,8.42,10.0,0.41,4.5,0.39,230.899994,0.970168,0.97546,62.174702,35.028,3.59037,39.406502,3.41523,2021-03-09,Unknown
CT,2021-03-10,1.04,,,,,1.06,,,,,,,,,,,,,,,,,,2021-03-10,Unknown
CT,2021-03-11,1.13,,,,,1.38,,,,,,,,,,,,,,,,,,2021-03-11,Unknown
CT,2021-03-12,1.14,,,,,1.27,,,,,,,,,,,,,,,,,,2021-03-12,Unknown
CT,2021-03-13,1.03,,,,,1.19,,,,,,,,,,,,,,,,,,2021-03-13,Unknown
CT,2021-03-14,1.2,,,,,1.23,,,,,,,,,,,,,,,,,,2021-03-14,Unknown
CT,2021-03-15,0.88,,,,,0.94,,,,,,,,,,,,,,,,,,2021-03-15,Unknown
CT,2021-03-16,0.86,362.0,204.0,12.2,7.72,1.03,4.0,4.0,13.3,7.87,8.87,10.0,0.3,1.9,0.46,358.0,0.98895,0.980392,34.360802,34.360802,2.57706,16.321381,3.951492,2021-03-16,Unknown
CT,2021-03-17,0.89,,,,,1.18,,,,,,,,,,,,,,,,,,2021-03-17,Unknown
CT,2021-03-18,1.0,,,,,1.11,,,,,,,,,,,,,,,,,,2021-03-18,Unknown
CT,2021-03-19,1.08,,,,,1.15,,,,,,,,,,,,,,,,,,2021-03-19,Unknown
CT,2021-03-20,0.95,,,,,1.12,,,,,,,,,,,,,,,,,,2021-03-20,Unknown
CT,2021-03-21,1.02,,,,,1.08,,,,,,,,,,,,,,,,,,2021-03-21,Unknown
CT,2021-03-22,1.25,,,,,1.34,,,,,,,,,,,,,,,,,,2021-03-22,Unknown
CT,2021-03-23,0.98,265.0,209.0,12.3,7.71,0.95,8.3,8.0,13.3,7.87,9.94,10.0,0.36,4.1,0.6,256.700012,0.968679,0.961722,65.760902,63.383999,2.85228,32.484299,4.7538,2021-03-23,Unknown
CT,2021-03-24,0.85,,,,,1.48,,,,,,,,,,,,,,,,,,2021-03-24,Unknown
CT,2021-03-25,0.94,,,,,1.07,,,,,,,,,,,,,,,,,,2021-03-25,Unknown
CT,2021-03-26,1.01,,,,,1.15,,,,,,,,,,,,,,,,,,2021-03-26,Unknown
CT,2021-03-27,0.88,,,,,1.1,,,,,,,,,,,,,,,,,,2021-03-27,Unknown
CT,2021-03-28,1.0,,,,,1.02,,,,,,,,,,,,,,,,,,2021-03-28,Unknown
CT,2021-03-29,1.31,,,,,1.39,,,,,,,,,,,,,,,,,,2021-03-29,Unknown
CT,2021-03-30,0.95,174.0,191.0,13.2,7.55,1.2,4.1,4.0,14.8,7.38,9.95,10.0,0.28,5.1,0.55,169.899994,0.976437,0.979058,41.032799,40.032001,2.80224,51.040798,5.5044,2021-03-30,Unknown
CT,2021-03-31,0.97,,,,,1.1,,,,,,,,,,,,,,,,,,2021-03-31,Unknown
